osm_id,railway,name,place,website,wikidata,highway,bicycle,crossing,lcn,power,traffic_signals,traffic_signals:direction,stop,barrier,addr:city,addr:housenumber,addr:street,amenity,building,man_made,pipeline,religion,direction,crossing:island,leisure,seamark:harbour:category,seamark:name,seamark:type,entrance,material,brand,brand:wikidata,brand:wikipedia,addr:postcode,description,office,operator,emergency,cuisine,smoking,takeaway,facebook,opening_hours,phone,addr:country,addr:province,addr:unit,shop,official_name,healthcare,beauty,pet,alt_name,ford,dispensing,outdoor_seating,opening_hours:covid19,dance:teaching,bench,bus,network,public_transport,shelter,tactile_paving,bicycle_parking,covered,fee,cycleway,cycleway:both,lanes,surface,oneway,ref,bridge,layer,cycleway:right,usage,service,landuse,lit,source_ref,foot,boat,waterway,segregated,sidewalk,fax,isced:level,operator:type,school:language,start_date,maxspeed,validate:no_name,maxspeed:type,old_ref,natural,water,tunnel,junction,mtb:scale,mtb:scale:uphill,sac_scale,trail_visibility,parking,footway,access,building:levels,addr:interpolation,location,substance,cables,voltage,sport,wheelchair,turn:lanes:backward,turn:lanes:forward,turn:lanes,admin_level,boundary,drive_through,internet_access,internet_access:fee,roof:levels,lanes:backward,lanes:forward,tracktype,leaf_cycle,leaf_type,delivery,motor_vehicle,industrial,traffic_calming,horse,supervised,denomination,cycleway:left,drive_in,golf,golf_cart,disused:amenity,handicap,par,fence_type,height,incline,width,type,route,name:ar,name:bn,name:en,name:es,name:fr,name:ja,name:ko,name:sv,name:vi,name:zh,note,wikipedia,source:date,restriction,population,population:date,political_division,WKT
"288896305",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0757436 42.2717084)"
"288896306",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.074119 42.2698167)"
"288896307",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0718911 42.26735)"
"288896308",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0704253 42.2657298)"
"288896309",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0685019 42.2636653)"
"288896310",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0667233 42.2618012)"
"288896311",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0651266 42.2600845)"
"288896312",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.063407 42.2579652)"
"288896313",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0616673 42.2559677)"
"288896314",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0600293 42.2540757)"
"288896315",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.055641 42.2512701)"
"288896364",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0575806 42.2541455)"
"288896366",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0577724 42.2538109)"
"288896368",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0581613 42.2531277)"
"288896391",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0579697 42.2534665)"
"288896392",,,,,,,,,,"tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.0585518 42.2528008)"
